ANOMES;IDENTIFICACION;NOMBRE;COL03;VIAJES;VIAJESFLOTAPROPIA;VALORPACTADO;TONELADAS;GALONES;COL09;COL10
202401 a 202412;9007453085;LOGISTICA COLOMBIANA DE TRANSPORTES S.A.S.; ;2,357;2,125;       297,965,967;39,654;9,2; ; 
202401 a 202412;9004257648;OPERADORES LOGISTICOS DEL CARIBE S.A.S.; ;2,357;1,497;     1,618,174,600;67,462;730,776; ; 
202401 a 202412;8060029118;DURAMOS TRANSPORTES S.A.S.; ;2,342;1,549;     1,545,755,642;21,6;        16,773,312; ; 
202401 a 202412;8050278771;LOGISTICA INTERNACIONAL SAS; ;2,339;936;     2,910,205,000;22,551;0; ; 
202401 a 202412;8600617664;TRANSPORTES CARAVANA S.A.S; ;2,331;0;     5,075,766,800;19,395;0; ; 
202401 a 202412;8001493513;INVERSIONES MARTINEZ R E HIJOS S.A.S.; ;2,33;878;     2,744,589,000;35,837;0; ; 
202401 a 202412;9007381144;CARGA FACIL SAS; ;2,33;0;     4,617,760,945;40,235;0; ; 
202401 a 202412;9004782074;VALHOR INVERSIONES S.A.S; ;2,309;0;       619,510,083;3,71;0; ; 
202401 a 202412;9007839221;BULK CARGO S.A.S.; ;2,304;841;     2,803,477,100;16,417;0; ; 
202401 a 202412;9002179570;TRUVEL S.A; ;2,304;0;     1,757,967,682;9,236;0; ; 
202401 a 202412;8000504546;TRANSPORTAMOS CARGA LTDA; ;2,303;0;     2,910,436,957;28,578;0; ; 
202401 a 202412;9004574128;TRANS RUBIALES S.A.S; ;2,302;0;     4,886,008,014;21,103;420; ; 
202401 a 202412;9004987744;TRANSALIANZA TN S.A.S.; ;2,299;22;     7,671,160,000;28,323;0; ; 
202401 a 202412;9000467333;KARGA & LOGISTICA S.A.S.; ;2,282;0;     6,792,381,260;32,164;0; ; 
202401 a 202412;9006329942;LOGISTICA Y TRANSPORTE HM S.A.S.; ;2,28;73;     9,826,438,487;50,287;0; ; 
202401 a 202412;8460042305;EMPRESA DE TRANSPORTE DE DERIVADOS DEL PETROLEO Y CARGA LTDA ; ;2,277;308;     3,688,525,172;275;        13,650,998; ; 
202401 a 202412;9013004736;LOGISTICA DE TRANSPORTE CARGOEX S.A.S; ;2,277;0;    11,426,952,000;77,358;0; ; 
202401 a 202412;9014854002;CARGA PRO S.A.S; ;2,272;1,382;     3,743,898,020;61,273;0; ; 
202401 a 202412;9005616659;SUSENCARGOS LOGISTICA S.A.S.; ;2,271;2,237;        36,992,942;4,095;0; ; 
202401 a 202412;9003124623;K-RRERA EXPRESS LOGISTICA S.A.; ;2,266;3;     2,653,098,002;2,313;0; ; 
202401 a 202412;9001215614;MASTERCARGA S.A.S; ;2,264;1,593;     1,726,299,001;9,234;0; ; 
202401 a 202412;8002155924;THOMAS GREG EXPRESS S.A TG EXPRESS S.A; ;2,259;0;0;51;0; ; 
202401 a 202412;9014888166;EMPRESA DE CARGA TERRESTRE TRANS OPEL SAS.; ;2,257;168;     3,294,878,210;16,36;0; ; 
202401 a 202412;8060144251;COOPERATIVA DE TRANSPORTES Y LOGISTICA EFICAZ; ;2,249;0;       811,808,064;5,034;0; ; 
202401 a 202412;8050132336;TRANSPORTES AL MUNDO SAS; ;2,241;1;     4,082,338,252;75,322;0; ; 
202401 a 202412;8000057295;TRANSPORTES OSORIO GAVIRIA S.A.; ;2,24;0;     3,272,439,705;18,536;0; ; 
202401 a 202412;8000741140;SERVICIOS DIVERSOS DE CARGA S.A.S.; ;2,221;0;     4,769,205,000;12,876;5; ; 
202401 a 202412;9005081044;TRANSLIQUIMICOS S.A.S.; ;2,215;0;     3,006,729,487;19,762;846,23; ; 
202401 a 202412;9000326857;PHOENIX LOGISTIC S.A.S; ;2,212;0;     2,221,890,446;2,213;0; ; 
202401 a 202412;9002192913;FRIOTRANSANDINA S.A.S.; ;2,205;0;     1,690,768,532;6,154;0; ; 
202401 a 202412;8000608281;TRANSPORTADORA UNIVERSAL LTDA; ;2,201;2,118;        72,340,000;2,703;0; ; 
202401 a 202412;9006437445;TRANSPORTAMOS LOGIST ISR S.A.S; ;2,19;956;       404,807,850;7,542;0; ; 
202401 a 202412;9000182981;TRANSPORTES ANFER SAS; ;2,186;1,376;     3,932,245,691;63,804;0; ; 
202401 a 202412;8301019736;MUDANZAS LEMUS LINARES LTDA; ;2,179;1,038;     2,545,361,271;17,066;0; ; 
202401 a 202412;9010358804;GREEN PACIFIC CARGO SAS; ;2,178;420;     5,159,640,000;36,336;0; ; 
202401 a 202412;9010266720;INVERSIONES LEGAL FIELD S.A.S ; ;2,174;0;       682,075,664;7,18;0; ; 
202401 a 202412;9007924488;COMNALMICROS TOURS S.A.S; ;2,165;0;     1,584,997,000;4,26;0; ; 
202401 a 202412;9016387012;TRANSPORTES LA CUMBRE S.A.S; ;2,164;0;     6,218,485,000;38,598;0; ; 
202401 a 202412;9004021808;BIENES Y SERVICIOS YEVIMAQUINAS S.A.S; ;2,162;132;     1,097,343,045;29,639;0; ; 
202401 a 202412;9010843271;OPERADOR LOGISTICO MORALAR SAS - TRANSMORALAR SAS; ;2,159;0;     1,767,815,260;3,515;0; ; 
202401 a 202412;9011408416;C.T.L MASS CONECTANDO TRANSPORTE Y LOGISTICA S.A.S; ;2,155;470;     4,404,830,700;11,215;0; ; 
202401 a 202412;9006674863;TRANSPORTE SUPERCARGAS S.A.S; ;2,155;939;     2,965,963,045;15,652;0; ; 
202401 a 202412;9014122107;TRUCKSLOGIC SAS; ;2,149;4;     1,854,033,978;62,129;0; ; 
202401 a 202412;9004612560;VHARMA GROUP S.A.S.; ;2,141;0;     2,166,189,815;35,648;358,004; ; 
202401 a 202412;9005396474;TRANSPORTES DORADOS DE COLOMBIA S.A.S; ;2,14;238;     2,642,380,286;7,567;         6,262,157; ; 
202401 a 202412;9007881908; TRANSPORTE DE CARGA MUISCA SAS; ;2,138;0;     5,192,279,500;21,697;0; ; 
202401 a 202412;9004761733;COMPAÃ‘IA PROMOTORA DE TRANSPORTE S.A.S.; ;2,134;0;     5,205,559,984;34,733;0; ; 
202401 a 202412;9001099009;CARGOLAP LOGISTICA S.A.; ;2,132;1,997;        23,420,000;4,513;0; ; 
202401 a 202412;9006229459;TRANSPORTES DEL ORIENTE DE COLOMBIA S.A.S.; ;2,129;312;     2,302,144,480;25,303;         6,221,400; ; 
202401 a 202412;9012646111;SOBRE RUEDAS PLUSS S.A.S; ;2,125;0;     1,773,366,368;6,231;0; ; 
202401 a 202412;9002740870;TRADING GROUP INTERNATIONAL S.A.S.; ;2,123;0;       353,960,000;32,281;0; ; 
202401 a 202412;8000067861;ALCOMEXTRANS S.A.S.; ;2,121;229;     3,507,278,502;7,559;0; ; 
202401 a 202412;8301340662;ROCA LOGISTICA COMPAÃ‘IA DE TRANSPORTES LTDA; ;2,118;0;    10,101,630,134;73,574;0; ; 
202401 a 202412;8000352769;TRANSPORTES MONTEJO S.A.S; ;2,112;17;     3,103,376,219;52,997;0; ; 
202401 a 202412;9015087276;MTCARGO SAS; ;2,109;0;     1,043,880,000;6,567;0; ; 
202401 a 202412;8604031632;COOPERATIVA DE TRANSPORTADORES SANTANDEREANOS LTDA.; ;2,109;0;     5,024,813,277;17,341;0; ; 
202401 a 202412;9002612469;SERVIAGRICOLA DE COLOMBIA S.A.S.; ;2,106;0;     6,362,519,999;68,907;0; ; 
202401 a 202412;9000521235;TRANSPORTES NACIONALES ARANDA LTDA. ; ;2,094;1,236;       733,056,004;8,73;0; ; 
202401 a 202412;8909112607;RODRIGUEZ OSORIO & CIA.; ;2,089;93;     1,801,207,882;5,682;0; ; 
202401 a 202412;8300970807;TRANSPORTE EN INOXIDABLE LIQUIDOS DE COLOMBIA LTDA; ;2,088;128;     1,904,216,292;19,076;0; ; 
202401 a 202412;8001135062;TRANSPORTES VERPER LTDA.; ;2,085;0;     2,032,382,178;18,824;474; ; 
202401 a 202412;9013292094;LOGISCARGO EXPRESS S.A.S; ;2,08;738;     1,627,686,523;20,381;0; ; 
202401 a 202412;9004457249;EMPRESA DE CARGA VARIEDAD EN TRANSPORTES S.A.S.; ;2,075;0;     3,533,969,000;52,014;0; ; 
202401 a 202412;9005112899;MANUCHAR LOGISTIC S.A.S; ;2,075;295;     3,593,268,730;56,769;0; ; 
202401 a 202412;9002856662;VIGIA PLUS SERVICES S.A.S  ; ;2,071;0;       686,865,973;2,193;0; ; 
202401 a 202412;9015867509;VICTOR ALVAREZ LOGISTIC S.A.S; ;2,071;242;     1,558,661,015;4,436;0; ; 
202401 a 202412;9004851281;LOGISTICA Y DISTRIBUCIONES SOBRE RUEDAS SAS; ;2,069;0;     4,080,599,000;12,805;0; ; 
202401 a 202412;9000800189;COLOMBIANA INTEGRAL DEL TRANSPORTE S.A.S (COINTRAN); ;2,068;2,066;0;7,772;0; ; 
202401 a 202412;8060048957;OPERADORA PORTUARIA DEL CARIBE S.A.; ;2,055;0;     5,292,646,264;13,201;         5,827,640; ; 
202401 a 202412;8002254176;TRANSPORTE Y COMERCIO INTERNACIONAL LTDA.; ;2,052;1,129;     4,003,701,000;50,945;0; ; 
202401 a 202412;9010805642;TRANSPORTADORES COLOMBIANOS DEL SUR S.A.S; ;2,046;0;     3,739,696,621;47,097;0; ; 
202401 a 202412;9012542037;TRANSPORTE Y LOGISTICA DE CARGA INTERNACIONAL COMPAÃ‘IA SAS; ;2,043;0;     3,022,070,000;30,153;185,5; ; 
202401 a 202412;8050103411;ENTREGAS S.A.S.; ;2,043;1,766;       643,814,043;5,282;0; ; 
202401 a 202412;8301320728;TRANSPORTES DE CARGA Y CONCENTRADOS FELUZ LTDA; ;2,041;182;     1,073,930,092;20,415;0; ; 
202401 a 202412;8020169984;LOGISTICA DE CARGA INTERNACIONAL S.A.S; ;2,038;0;     1,010,589,277;5,701;0; ; 
202401 a 202412;9006343412;POSTCARGO S.A.S; ;2,02;68;     1,140,475,000;2,35;0; ; 
202401 a 202412;9010805398;MPI LOGÃSTICA S.A.S; ;2,014;1,639;     1,630,922,000;61,795;0; ; 
202401 a 202412;9012828225;EMPRESA DE CARGA GENERAL TRANSMILENUM SAS; ;2,005;0;       973,685,000;711;0; ; 
202401 a 202412;8001788643;ROAD CARGO S.A.S; ;2,002;0;     4,917,809,393;1,814;        18,661,679; ; 
202401 a 202412;8260008518;COOPERATIVA MULTIACTIVA DE TRANSPORTE DE CARGA RUTA DE LOS LIBERTADORES; ;1,999;0;       994,385,106;35,908;0; ; 
202401 a 202412;8002414696;TRANSBORDER S.A.S; ;1,996;0;     5,439,515,660;21,883;0; ; 
202401 a 202412;8300944806;TRANSPORTES ARTICO S.AS; ;1,992;1,928;       208,350,000;38,086;0; ; 
202401 a 202412;8605343576;PROPIETARIOS DE CAMIONES S.A.; ;1,99;1;     5,308,303,852;20,854;0; ; 
202401 a 202412;9000787561;TRANSPORTES NAUSA LTDA; ;1,989;0;       756,039,203;3,935;0; ; 
202401 a 202412;9008465861;GRUPO TRANSDELTA S.A.S.; ;1,988;0;     3,347,425,988;23,493;0; ; 
202401 a 202412;9009571025;COORDINADORA INTEGRAL DE CARGA SAS; ;1,981;0;     1,258,109,840;5,884;0; ; 
202401 a 202412;9000659387;L.C TRANSPORTADORES S.A.S; ;1,978;1,969;        11,300,000;62,02;0; ; 
202401 a 202412;9015091787;SOLEN GROUP CARGO SAS; ;1,977;0;     1,088,073,200;2,207;0; ; 
202401 a 202412;9001598724;TRANSPORTES ESTELAR DE COLOMBIA S.A.S; ;1,976;0;     4,969,538,586;38,878;0; ; 
202401 a 202412;8300995964;TRANSPORTADORA MERCANTIL LTDA; ;1,974;0;     3,051,306,200;10,18;0; ; 
202401 a 202412;9002107565;COOPERATIVA DE TRANSPORTES PUNTO CARGA; ;1,972;157;     2,201,079,407;13,022;0; ; 
202401 a 202412;9004999191;HA LOGISTICA S.A.S; ;1,965;39;     3,709,844,612;16,538;0; ; 
202401 a 202412;9009360066;SURACARGA S.A.S.; ;1,965;0;     6,346,361,087;52,188;         2,168,000; ; 
202401 a 202412;9005979301;TRANSPORTES ORTECARGA S.A.S; ;1,964;3;     1,113,285,905;10,328;0; ; 
202401 a 202412;8001920470;SERVIRUTAS S.A.S; ;1,952;359;     3,334,146,489;21,158;0; ; 
202401 a 202412;9005735613;COOPERATIVA DE TRANSPORTADORES DE CARGA DEL VALLE; ;1,952;0;     1,984,704,979;20,764;0; ; 
202401 a 202412;9006945519;TRANSPORTES Y LOGÃSTICA EL CACIQUE S.A.S; ;1,951;939;     1,279,169,002;17,402;0; ; 
202401 a 202412;9010249923;TRANSPORTES BELTRAN V .S.A.S; ;1,948;0;     3,816,216,685;16,843;0; ; 
202401 a 202412;9010805327;JAH INGENIERIA Y SUMINISTROS S.A.S; ;1,945;66;     6,386,584,880;50,914;0; ; 
202401 a 202412;9001689064;TRANSPORTES GIRARDOTA S.A.; ;1,94;1,033;     2,194,690,650;16,468;0; ; 
202401 a 202412;9015126162;EMPRESA DE TRANSPORTE DE CARGA TRAVELINEG SPECIAL SAS; ;1,938;0;     1,595,451,088;0;        14,877,458; ; 
202401 a 202412;9000740120;CARGAS DEL ORIENTE S.A.; ;1,937;1,929;        13,027,284;63,744;184,9; ; 
202401 a 202412;8260028818;TRANSPORTES BENAVIDES S.A.S EN RESTRUCTURACION ; ;1,937;490;     3,910,073,413;25,555;0; ; 
202401 a 202412;9004274271;COMPAÃ‘IA DE BIENES Y SERVICIOS SERVILLANO S.A.S; ;1,936;5;     2,253,890,486;29,205;22,21; ; 
202401 a 202412;9012069688;TRANSPORTE Y LOGISTICAS DE CARGA LOS AMIGOS S.A.S ; ;1,925;0;     7,432,751,827;52,415;0; ; 
202401 a 202412;8999990554;TRANSPORTES TODOTERRENO SAS, S.A.S; ;1,917;0;    10,728,877,239;40,617;         5,373,674; ; 
202401 a 202412;9011772725;SAC LOGISTICA SAS ; ;1,916;1;     5,006,427,200;21,805;0; ; 
202401 a 202412;9007847441;CH ROBINSON INTERNACIONAL COLOMBIA SAS; ;1,9;0;     5,714,080,000;30,74;3; ; 
202401 a 202412;9012985696;DLR LOGISTICA S.A.S; ;1,899;1,749;        67,424,623;883;0; ; 
202401 a 202412;8600144939;COOPERATIVA MULTIACTIVA DE TRANSPORTADORES OMEGA LTDA; ;1,898;0;     3,878,818,947;9,336;1,4; ; 
202401 a 202412;9013544817;MULTICARGO EXPRESS S.A.S.; ;1,896;0;     1,706,401,000;2,846;0; ; 
202401 a 202412;9015085975;TRANSPORTE DE CARGA RUTA 85 S.A.S; ;1,895;0;     3,329,945,063;61,599;0; ; 
202401 a 202412;9010662261;SULOGISTICS EXPRESS S.A.S.; ;1,88;4;     2,788,092,116;51,175;0; ; 
202401 a 202412;9011981505;INVERTRAICO SAS; ;1,876;0;     1,402,250,539;4,119;0; ; 
202401 a 202412;8000936830;TRANSPORTES FOR & CIA. LTDA; ;1,876;0;     1,984,231,060;31,32;0; ; 
202401 a 202412;9013372080;TRANSPORTES REFRIGERADOS POR COLOMBIA S.A.S ; ;1,874;0;     3,623,255,000;7,939;8; ; 
202401 a 202412;8000901685;TECNICARGAS DE COLOMBIA LTDA; ;1,871;375;     1,471,495,763;4,517;0; ; 
202401 a 202412;9000925214;D & M TRANSPORTADORA INTERNACIONAL LTDA; ;1,87;0;     8,267,379,603;43,234;0; ; 
202401 a 202412;9006907792; INTEGRAL SERVICIOS MATERIALES Y CONTRUCIONES TRANSPORTES AFINES S.A.S; ;1,869;359;     4,093,252,190;1,324;        17,553,366; ; 
202401 a 202412;8050199086;TRANSRÃPIDO RODRÃGUEZ E.U.; ;1,869;1,48;       213,825,905;47;         6,723,043; ; 
202401 a 202412;9002943150;A C  CARGA ESPECIALIZADA S.A.S.; ;1,868;149;     7,616,367,230;51,034;0; ; 
202401 a 202412;9004548729;TRANSPORTES HIDROCARBUROS DE COLOMBIA S.A.S.; ;1,854;897;     4,170,352,831;1,529;        15,934,635; ; 
202401 a 202412;8999990491;ALMAGRARIO S.A. EN REORGANIZACION; ;1,845;313;     1,378,970,160;6,801;0; ; 
202401 a 202412;9008107283;ALIADOS DE TRANSPORTE DE COLOMBIA; ;1,845;354;     4,022,560,227;0;        17,877,066; ; 
202401 a 202412;9018043652;DC CARGO EXPRESS SAS; ;1,843;0;     3,644,823,866;24,855;0; ; 
202401 a 202412;9015175672;KARZAN LOGISTICA S.A.S; ;1,842;0;     1,280,163,836;2,864;0; ; 
202401 a 202412;9015224721;TRANS RIMAR S.A.S; ;1,839;150;     9,905,967,500;64,185;0; ; 
202401 a 202412;9006446251;TRANSPORTADORA HUBER FRANCO S.A.S; ;1,83;173;     1,662,225,500;4,548;2,9; ; 
202401 a 202412;9005602408;TRANSPORTES EJ S.A.S; ;1,829;0;     3,166,440,536;14,73;0; ; 
202401 a 202412;9004340126;ROTRASVEHI S.A.S. ; ;1,829;302;     4,841,421,199;19,124;0; ; 
202401 a 202412;9013195831;TRANSPORTES LOPEZ C S.A.S; ;1,828;0;     6,144,658,093;57,889;0; ; 
202401 a 202412;9008737821;PLATINUM CARGA S.A.S.; ;1,826;1,737;       315,671,812;62,362;0; ; 
202401 a 202412;8301472887;KAPITAL CARGA LTDA; ;1,824;205;     4,639,643,004;23,39;0; ; 
202401 a 202412;9009703254;TRACTOCAR DEL LLANO S.A.S; ;1,815;0;     1,560,041,643;20,998;419; ; 
202401 a 202412;9012744931;BOX CARGO TRANSPORTES S.A.S; ;1,814;514;     1,184,090,992;3,746;720; ; 
202401 a 202412;9004007071;MI CARGA SAS ; ;1,81;0;     7,664,516,940;30,856;         7,946,520; ; 
202401 a 202412;8301097467;TRANSPORTES FRIGORIFICOS ANDINOS SAS.; ;1,805;1,043;     1,546,751,354;28,066;0; ; 
202401 a 202412;9005485750;MULTISERVICIOS SAN MARTIN SAS ; ;1,802;203;     4,250,283,297;10;        17,552,403; ; 
202401 a 202412;9006736674;TRANSPORTES LAS COROCORAS LOGISTICA A SU SERVICIO S.A.S.; ;1,793;7;     4,587,503,000;25,083;30,52; ; 
202401 a 202412;8210032388;SERVIEXPRESS S.A.S; ;1,793;166;     1,726,672,000;10,354;69,302; ; 
202401 a 202412;9003891690;ANITA CARGA S.A.S.; ;1,79;1,527;       852,269,885;58,875;0; ; 
202401 a 202412;9008050641;AL DIA EXPRESS COLOMBIA S.A.S ; ;1,79;272;     1,845,635,822;4,761;0; ; 
202401 a 202412;9004372941;MASLOGISTICA S.A.S; ;1,788;19;     3,351,400,371;10,033;0; ; 
202401 a 202412;9009704395;BULKMATIC DE COLOMBIA S.A.S; ;1,785;0;     6,903,937,567;52,054;0; ; 
202401 a 202412;9009448982;LOGISTICA INTEGRAL ALTAIR S.A.S; ;1,783;0;     3,077,620,621;16,833;0; ; 
202401 a 202412;9011035905;TRANS POLAR TRANSPOLAR S.A.S ; ;1,776;0;     8,442,439,440;39,148;0; ; 
202401 a 202412;9014795844;LOTRAN DEL CARIBE S.A.S; ;1,77;6;     1,731,450,763;8,854;550; ; 
202401 a 202412;9013863966;FUERZA LOGISTICA Y TRANSPORTE DE CARGA - FLTC S.A.S; ;1,769;541;       534,172,907;6,768;0; ; 
202401 a 202412;8300478325;D&G TRANSPORTES LTDA; ;1,767;0;     5,606,635,589;23,569;         8,329,811; ; 
202401 a 202412;9010757434;BECERRA TRUCK TRANSPORTES SOCIEDAD POR ACCIONES SIMPLIFICADA; ;1,765;0;     6,136,277,129;60,004;0; ; 
202401 a 202412;9001440977;ALITRANS S.A.S.; ;1,765;0;     6,776,038,500;39,01;0; ; 
202401 a 202412;9017077785;LAC LOGISTICA DE CARGA SAS ; ;1,764;0;     1,479,874,200;3,492;248; ; 
202401 a 202412;9009399554;EMPRESA DE TRANSPORTES Y SERVICIOS DE COLOMBIA S.A.S; ;1,758;214;     3,983,047,628;2,579;        14,153,359; ; 
202401 a 202412;9010208341;INTEGRAL TRANS GROUP S.A.S; ;1,757;0;     2,282,778,535;5,928;        15,645,546; ; 
202401 a 202412;9001344565;A.T.H. CARGA S.A.S; ;1,754;802;     1,329,230,141;8,401;0; ; 
202401 a 202412;9000698663;TRANSPORTES J.E. CIA. S.A.S; ;1,751;0;     4,627,606,353;48,414;0; ; 
202401 a 202412;9013847827;TRANSPORTAR CARGA S.A.S.; ;1,742;146;     7,064,493,395;31,444;0; ; 
202401 a 202412;8300962429;TRANSPORTES CLAVIJO S.A.S; ;1,741;1,333;       726,552,647;10,561;0; ; 
202401 a 202412;9014199675;TU CARGA JS S.A.S; ;1,736;0;     1,173,432,851;1,29;0; ; 
202401 a 202412;9005866220;TRANSPORTES DE CARGA FLOREZ S.A.S. TCF S.A.S; ;1,736;0;     6,494,176,258;33,732;         4,941,000; ; 
202401 a 202412;9011949914;AFLAM S.A.S; ;1,731;127;     3,798,154,930;2,923;        14,183,076; ; 
202401 a 202412;9016707809;MAS FRIO LOGISTICA Y TRANSPORTE   S.A.S; ;1,72;58;     2,347,340,000;8,833;0; ; 
202401 a 202412;9000604154;TRANSPORTES AMERICAN LOGISTICS SAS; ;1,72;263;     1,989,209,500;10,062;196,588; ; 
202401 a 202412;9002153898;IBEROAMERICANA DE TRANSPORTES LTDA. ; ;1,719;0;     1,938,765,851;7,367;0; ; 
202401 a 202412;9002653590;TRANSFOR S.A.S; ;1,717;919;       643,884,766;10,49;0; ; 
202401 a 202412;8020041971;TRANSPORTES J.G. LTDA; ;1,716;0;     1,869,780,000;15,689;0; ; 
202401 a 202412;8301413594;TRANSBORDA SAS; ;1,714;518;     1,600,457,823;5,765;0; ; 
202401 a 202412;9001569847;SOCIEDAD TRANSPORTADORA DE COLOMBIA S.A.; ;1,712;0;     2,992,094,937;41,926;0; ; 
202401 a 202412;9016130174;SOLUCIONES LOGISTICAS ZAFIRO S.A.S; ;1,71;0;     6,018,712,580;35,52;0; ; 
202401 a 202412;9017305936;RECISERVICIOS LOGISTICA CIRCULAR S.A.S.; ;1,704;319;     2,079,011,534;22,457;0; ; 
202401 a 202412;9002183118;LOGISTICA Y CARGA LTDA.; ;1,698;204;     3,768,914,922;16,973;0; ; 
202401 a 202412;8000714886;TRANSPORTADORA DE CEMENTOS S.A.S.; ;1,687;0;     4,126,770,267;36,302;0; ; 
202401 a 202412;9012598551;CARELI C&P S.A.S; ;1,685;785;     1,047,331,362;20,546;0; ; 
202401 a 202412;9010400744;VERDE 2 GO S.A.S.; ;1,681;0;     1,709,840,607;5,815;0; ; 
202401 a 202412;9004839254;SERVICIOS LOGISTICOS DE TRANSPORTE NACIONAL SAS; ;1,68;351;     1,893,544,020;9,426;0; ; 
202401 a 202412;9007096625;PROCOSTA COMPANY S.A.S.; ;1,68;0;     7,818,953,561;38,806;         2,942,100; ; 
202401 a 202412;9016802588;EL LLANO DC S.A.S. ZOMAC; ;1,678;0;     3,710,897,786;41,811;15; ; 
202401 a 202412;9001547042;AUTO GRUAS SALAZAR SAS; ;1,668;1,661;        10,600,000;18,552;0; ; 
202401 a 202412;9007414250;TRANSPORTES SV S.A.S; ;1,666;0;     1,601,867,966;16,178;0; ; 
202401 a 202412;8300822474;VIAS NACIONALES E INTERNACIONALES S.A.S; ;1,665;0;     1,381,516,613;2,738;168; ; 
202401 a 202412;9017247257;TRANSPORTES Y SOLUCIONES LOGISTICAS B2 SAS ; ;1,658;0;       606,667,613;3,601;0; ; 
202401 a 202412;9005591676;TRANSPORTE Y CARGA NISSI S.A.S.; ;1,643;0;     1,371,724,556;24,438;0; ; 
202401 a 202412;8002100081;COMPAÃ‘IA DE CARGUE Y DESCARGUE DE GRANELES LTDA; ;1,643;0;     6,536,488,815;55,174;0; ; 
202401 a 202412;9012777194;APOYO LOGISTICO R&S S.A.S; ;1,638;108;     1,220,566,000;2,32;800; ; 
202401 a 202412;9015189433;TRANSFRIO FICAL S.A.S.; ;1,634;0;     1,166,422,754;5,137;0; ; 
202401 a 202412;8001331097;TRANSPORTES MULTILINEA LTDA; ;1,633;0;     1,671,925,000;2,226;0; ; 
202401 a 202412;8110393758;LIQUITRANS S.A.; ;1,633;507;     2,530,426,434;27,191;         1,157,300; ; 
202401 a 202412;9004245994;GREEN LOGISTICS OPERATOR S.A.S.; ;1,633;486;     1,247,884,311;8,659;0; ; 
202401 a 202412;9007915521;LOGISTICA DE TRANSPORTES Y MERCANCIAS S.A.S; ;1,627;0;     5,676,273,035;35,138;0; ; 
202401 a 202412;9005181751;TRANSPORTE INTERNACIONAL ANDINA DE NACIONES S.A.S.; ;1,623;3;       754,337,482;4,401;0; ; 
202401 a 202412;9005820531;SLP SERVICIOS LOGISTICOS PETROLEROS SAS; ;1,622;0;     1,159,000,000;57;         6,433,000; ; 
202401 a 202412;9014490433;DELICARGO S.A.S.; ;1,621;0;     3,242,935,892;11,412;0; ; 
202401 a 202412;8260017055;COOPERATIVA DE TRANSPORTADORES DEL ORIENTE COLOMBIANO; ;1,621;0;     3,913,059,442;53,327;0; ; 
202401 a 202412;8110354496;COOPERATIVA DE VOLQUETEROS DE ABEJORRAL; ;1,62;0;     1,554,030,930;6,067;0; ; 
202401 a 202412;9007193988;TRANSPORTADORES DE NORTE DE SANTANDER S.A.S.; ;1,615;0;     5,692,660,678;40,263;445,457; ; 
202401 a 202412;9006457254;ORGANIZACION DE LOGISTICA INTEGRAL DE TRANSPORTE S.A.S.; ;1,61;150;     5,784,971,220;29,694;         7,888,786; ; 
202401 a 202412;8301009494;TRANSQUINTERO LTDA; ;1,609;0;       861,032,000;5,417;0; ; 
202401 a 202412;8001491294;TRANSPORTES TATIS DIAZ LTDA.; ;1,606;0;     3,084,270,000;24,027;0; ; 
202401 a 202412;9008058987;INDUSTRIALES DE CARGA S.A.S.; ;1,59;0;     2,008,374,699;6,671;0; ; 
202401 a 202412;9000820550;APL TRANSPORTES LTDA; ;1,589;0;     5,481,949,710;50,267;0; ; 
202401 a 202412;9008786460;JESS LOGISTICA Y CARGA S.A.S; ;1,586;438;       932,974,000;4,964;0; ; 
202401 a 202412;9014618760;TRANSPORTES COLDTRUCK S.A.S; ;1,58;578;     5,287,100,000;33,139;0; ; 
202401 a 202412;9006461425;C&T VIAL LOGISTICA S.A.S; ;1,575;254;     1,218,320,000;2,399;0; ; 
202401 a 202412;9002390629;COOPERATIVA DE TRANSPORTES Y SERVICIOS DE LA AMAZONIA; ;1,564;0;     3,467,192,391;0;        12,244,301; ; 
202401 a 202412;9016564609;MAS FRIO TRANSPORTES SAS; ;1,563;1,543;        30,196,600;15,59;0; ; 
202401 a 202412;8909380837;TRANSPORTES FLETES TERRESTRES S.A.; ;1,562;0;     6,758,312,081;48,008;0; ; 
202401 a 202412;8050316288;DISTRIBUIDORA SUPER 80 S.A.; ;1,56;0;       692,210,000;3,445;0; ; 
202401 a 202412;8260039423;IMEGO CARGA SAS; ;1,557;1,073;     1,274,622,126;52,483;0; ; 
202401 a 202412;9013642694;SMART TRANSPORTE Y LOGISTICA S.A.S.; ;1,556;0;     1,935,581,169;4,498;40; ; 
202401 a 202412;9007327447;FUELTRANS S.A.S.; ;1,549;1,549;0;0;        12,028,736; ; 
202401 a 202412;9013591370;TRANSPORTES ATILA S.A.S; ;1,547;0;     1,487,283,738;2,186;0; ; 
202401 a 202412;9013604915;TRANSPSOL S.A.S; ;1,545;0;     3,759,976,831;2,673;        12,989,769; ; 
202401 a 202412;8002139071;L A C LOGISTICA ANDINA DE CARGA LTDA; ;1,544;0;     2,162,935,700;4,827;1; ; 
202401 a 202412;9012561511;UNIÃ“N TRANSPORTADORA DE SERVICIOS DE COLOMBIA S.A.S UTSC; ;1,539;0;     4,242,549,826;630;        14,207,910; ; 
202401 a 202412;9004969544;SERVICIOS DE TRANSPORTE E INGENIERIA SOCIEDAD POR ACCIONES SIMPLIFICADA S.A.S; ;1,534;0;     3,813,676,101;19,17;0; ; 
